r,e,s,u,l,t,s,/,m,a,r,s,_,a,n,_,a,s,t,a,r,-,n,e,a,r,_,1,_,9,0,3,2,1,4,/,f,u,l,l,p,r,o,g,r,a,m
"SimpleITE(Fold(RelativeAngleSelect()), Start(MapPrefixes(Fold(Add(RelativeAngleSelect(), RelativeDistanceSelect())))), Map(VelocitySelect()))",0,0.5266684249215801,0.47227012129519097,0.7532219144164539,0.6846471467956168,0.6090168102842862
Fold(RelativeAngleSelect()),1,0.6791655468337304,0.5750860541377273,0.480103253341112,0.47342918642231674,0.4641777198822772
RelativeAngleSelect(),2,0.6586697818427025,0.5587733528703752,0.47739495214868766,0.4635400493614009,0.4483794706766723
"Start(MapPrefixes(Fold(Add(RelativeAngleSelect(), RelativeDistanceSelect()))))",1,0.6529520532368268,0.6101909362778928,0.644394335199575,0.580534882232791,0.5092723188830204
"MapPrefixes(Fold(Add(RelativeAngleSelect(), RelativeDistanceSelect())))",2,0.6335443545155861,0.5911249935463886,0.6831951160899928,0.6184774353855946,0.5400654785945768
"Fold(Add(RelativeAngleSelect(), RelativeDistanceSelect()))",3,0.6339521914249625,0.5963797522426314,0.6757044928972838,0.6153327832456494,0.5377330477120447
"Add(RelativeAngleSelect(), RelativeDistanceSelect())",4,0.0104883360601562,0.004435854377237702,0.6739859600536159,0.6135078189802952,0.5639223793490988
RelativeAngleSelect(),5,0.6939761607909533,0.6429453045103503,0.5160059337733222,0.4559677062464542,0.42266308333052965
RelativeDistanceSelect(),5,0.6630269574704177,0.6250944822373393,0.6878654722307549,0.593428406559053,0.5238794278903086
Map(VelocitySelect()),1,0.725054762093005,0.6481788822104603,0.42631626568856784,0.41796001938522837,0.4110995907275403
VelocitySelect(),2,0.7195291741196793,0.6457066352001453,0.4171092158458272,0.41307157375773446,0.4079369218623052
