r,e,s,u,l,t,s,/,m,a,r,s,_,a,n,_,a,s,t,a,r,-,n,e,a,r,_,1,_,1,6,0,5,0,5,7,5,9,5,/,f,u,l,l,p,r,o,g,r,a,m
"SimpleITE(Fold(RelativeAngleSelect()), Start(MapPrefixes(Fold(RelativeDistanceSelect()))), MapPrefixes(Window7Avg(VelocitySelect())))",0,0.6850251946437023,0.631008874232553,0.7041311586489443,0.6858542493132295,0.6732102085332401,0.6576057652958104,0.6341832172675211,0.6063065958804772,0.5771312938361871,0.5454501436382043,0.5114195937993097,0.4780989333254392
Fold(RelativeAngleSelect()),1,0.563139402431133,0.48021341809512996,0.5560436551688147,0.5414847912358456,0.5285421819960485,0.5176800352628114,0.5086707546085608,0.5010768717429677,0.49485091889490845,0.48977787768254516,0.4856263418666652,0.4820245338267967
RelativeAngleSelect(),2,0.5670687818501138,0.5215862902339887,0.5302989844416008,0.5195085132708315,0.5136031098053103,0.5082238179738404,0.502647983734725,0.49689554923870527,0.49098176496927853,0.4847438100908623,0.47806983551041027,0.47243600546336567
Start(MapPrefixes(Fold(RelativeDistanceSelect()))),1,0.6800255154651537,0.6411023578820235,0.6833271804403086,0.6209471597046149,0.57366138598958,0.5358147020222711,0.5056576723935174,0.48211031859038306,0.4630680396908619,0.447171790677993,0.43352650863225345,0.4212742701905673
MapPrefixes(Fold(RelativeDistanceSelect())),2,0.6861108514814468,0.6486858918146969,0.661482358565096,0.6355919681611608,0.5984296251515873,0.5560062508114049,0.5181341093094622,0.48804269169197706,0.46464517956874407,0.4451589247242349,0.42826170657501844,0.41440508502428647
Fold(RelativeDistanceSelect()),3,0.6820457101104083,0.6522749655308253,0.7273606599354353,0.6936622134974746,0.6735679595196833,0.6571757226693825,0.6369018828282591,0.610495668942811,0.5779981994238056,0.5438993582960034,0.5131007828673378,0.48706673158973945
RelativeDistanceSelect(),4,0.7160002119467307,0.6096986766713609,0.7220531799754158,0.6570666031759294,0.594766339317697,0.5287775426614479,0.47520590414766406,0.43802931269661327,0.41330674290657043,0.3963632016885476,0.3837515721555616,0.3739944779482044
MapPrefixes(Window7Avg(VelocitySelect())),1,0.6545840088623063,0.588189362841335,0.44934161227257524,0.44803212265499304,0.4466856801119007,0.44465351788724056,0.44167273503835086,0.43802979490796073,0.43456166884938224,0.4322705757422525,0.43066103341149503,0.4292136445397236
Window7Avg(VelocitySelect()),2,0.6543679815994943,0.5902952366120097,0.4493740845899113,0.44526936284831314,0.4419879458966802,0.43960862472409107,0.4378389921344695,0.4364205545089284,0.43512589569951665,0.4340536555305856,0.43295503493215215,0.43201719395449906
VelocitySelect(),3,0.649120229740168,0.5846585804132974,0.4509387182407692,0.44910394656853597,0.4469078124546614,0.4448746994870608,0.4431729091972601,0.44173457094880403,0.44049591216884676,0.439415986909241,0.43847055269069357,0.43764064839628875
